order_id,user_id,order_date,shipping_address,total_amount,status
1,39,2024-07-07,"15, Brahmbhatt, Loni 932081",1383.15,Pending
2,75,2024-05-28,"H.No. 893, Kar Path, Khora  172593",7218.31,Cancelled
3,93,2024-07-12,"H.No. 399, Kashyap Street, Patna 216980",1743.32,Delivered
4,74,2024-03-24,"H.No. 27, Ramachandran Zila, Deoghar-341593",19885.41,Pending
5,2,2024-06-23,"34/91, Bhakta Ganj, Unnao 163887",18724.36,Shipped
6,34,2024-01-11,"39/16, Ravel Road, Ajmer 493409",1845.87,Pending
7,84,2024-04-02,"728, Kamdar Path, Satara-064339",18708.62,Delivered
8,47,2024-03-26,"H.No. 78, Warrior Circle, Vadodara-913177",1118.83,Cancelled
9,89,2024-07-26,"97/92, Chhabra Zila, Nagaon-085732",8472.91,Pending
10,31,2024-04-04,"H.No. 43, Krishnamurthy Marg, Rajpur Sonarpur 927600",15494.96,Pending
11,8,2024-05-23,"H.No. 86, Saraf Path, Ahmednagar 489101",15433.64,Shipped
12,86,2024-01-03,"14/98, Jain Zila, Anantapuram 026862",19577.5,Shipped
13,16,2024-07-05,"49, Jaggi Path, Bardhaman 063304",13094.68,Cancelled
14,60,2024-02-09,"H.No. 09, Manne Chowk, Bijapur 201041",8697.06,Shipped
15,40,2024-06-18,"37/072, Sane Zila, Tezpur 667363",19860.7,Delivered
16,21,2024-02-14,"17, Buch Circle, Amaravati-516696",7958.35,Delivered
17,52,2024-06-01,"H.No. 314, Dhaliwal Street, Katni-433242",17457.6,Pending
18,88,2024-01-15,"H.No. 979, Dey Street, Parbhani 384266",18181.96,Shipped
19,65,2024-06-29,"H.No. 747, Boase Ganj, Mau 551387",7825.09,Shipped
20,91,2024-07-16,"H.No. 895, Ratti Zila, Anand-352399",13813.24,Pending
21,99,2024-04-18,"H.No. 187, Sant Nagar, Thrissur-177627",13404.95,Cancelled
22,40,2024-05-03,"89, Contractor Nagar, Rajahmundry 088224",11016.36,Shipped
23,89,2024-01-06,"36/43, Shenoy Marg, Darbhanga-366703",13243.91,Shipped
24,16,2024-07-13,"475, Bhagat Nagar, Ongole-913882",7281.51,Cancelled
25,82,2024-01-30,"H.No. 76, Sha, Ujjain 974775",3980.24,Shipped
26,38,2024-01-22,"00, Venkatesh Marg, Gulbarga-865825",10976.54,Delivered
27,48,2024-07-07,"13/48, Bir Chowk, Srikakulam 410226",10812.43,Delivered
28,79,2024-01-09,"11, Master Nagar, Khora  091821",14693.23,Cancelled
29,29,2024-07-23,"H.No. 392, Kunda Marg, Bareilly 871521",4842.46,Cancelled
30,29,2024-06-28,"40/04, Sachdev Ganj, Pallavaram 882595",567.73,Delivered
31,18,2024-04-26,"H.No. 863, Bhandari Chowk, Tirunelveli 449271",943.34,Delivered
32,62,2024-05-27,"98, Bhagat Street, Moradabad 194581",6318.08,Delivered
33,20,2024-06-01,"H.No. 50, Seshadri Marg, Etawah 709971",13633.25,Delivered
34,59,2024-01-27,"397, Varkey Marg, Deoghar 689964",11116.68,Cancelled
35,96,2024-02-03,"95, Chaudhari Marg, Cuttack 495850",10872.71,Cancelled
36,78,2024-07-07,"73, Kala Marg, Indore-740754",16555.53,Pending
37,48,2024-05-03,"H.No. 883, Sandal Path, Mangalore-992746",5326.48,Cancelled
38,54,2024-07-23,"83/609, Barad, Sasaram 479972",7250.11,Delivered
39,90,2024-02-12,"975, Bakshi Ganj, Tiruppur-849706",5875.17,Shipped
40,71,2024-04-19,"54, Kaul Street, Unnao 936582",18779.5,Delivered
41,61,2024-03-20,"H.No. 05, Vasa Street, Kharagpur-855675",14637.97,Delivered
42,97,2024-07-08,"H.No. 72, Ranganathan Circle, Panipat 935502",2700.47,Cancelled
43,69,2024-04-24,"52, Ganesh Circle, Korba 759525",16284.82,Pending
44,86,2024-06-12,"290, Rege Marg, Agra 675513",8675.19,Shipped
45,28,2024-02-15,"858, Sharma, Chapra-037192",15438.04,Shipped
46,98,2024-05-06,"81/91, Chaudhry Chowk, Belgaum 684541",17733.25,Pending
47,32,2024-01-08,"H.No. 578, Dalal Circle, Korba-542879",805.09,Delivered
48,88,2024-07-10,"H.No. 21, Mall Path, Karaikudi-796298",4518.59,Cancelled
49,97,2024-06-11,"H.No. 65, Wadhwa Road, Allahabad 137567",2467.49,Delivered
50,77,2024-05-24,"H.No. 89, Sur, Sri Ganganagar 747900",1154.74,Shipped
51,11,2024-06-13,"138, Ghose Street, Ulhasnagar 860692",12156.81,Shipped
52,68,2024-02-06,"349, Mandal Road, Ahmednagar-856563",14214.08,Delivered
53,58,2024-05-13,"621, Sankar Nagar, Panvel 123306",1449.19,Shipped
54,68,2024-01-10,"H.No. 22, Rege Nagar, Nellore 921352",14940.55,Cancelled
55,91,2024-03-04,"60/638, Dhar Nagar, Ghaziabad 753984",8344.17,Shipped
56,47,2024-06-09,"H.No. 758, Kannan Marg, Kurnool 869801",5069.62,Cancelled
57,10,2024-04-13,"H.No. 185, Chatterjee Street, Ramagundam 198978",4736.75,Delivered
58,73,2024-01-31,"05, Samra Marg, Siwan 466282",17342.74,Delivered
59,15,2024-04-16,"20/820, Dutt, Tiruchirappalli-143540",1600.66,Cancelled
60,8,2024-06-07,"42, Verma Marg, Bhiwani 036675",10325.97,Cancelled
61,71,2024-03-16,"44/25, Tank Path, Rourkela-719217",6140.64,Cancelled
62,65,2024-02-12,"699, Chad Circle, Mehsana 320140",16407.83,Shipped
63,26,2024-01-01,"H.No. 731, Kumar Zila, Kozhikode 635946",14764.59,Delivered
64,74,2024-05-04,"11, Chandra Circle, Bally 925048",6718.62,Shipped
65,69,2024-03-08,"H.No. 33, Barad Marg, Rajpur Sonarpur-013760",12159.39,Shipped
66,20,2024-04-15,"25/45, D’Alia Nagar, Raurkela Industrial Township-289671",13614.37,Cancelled
67,22,2024-02-09,"H.No. 75, Desai, Nagpur 803278",6752.97,Shipped
68,42,2024-05-05,"64, Chhabra Ganj, Kolkata 531692",6384.41,Pending
69,67,2024-07-10,"H.No. 030, Upadhyay Street, Navi Mumbai-986181",3293.58,Pending
70,57,2024-04-07,"72, Sangha Street, Ghaziabad 385456",13374.14,Pending
71,15,2024-03-30,"527, Sha Path, Medininagar-647618",4810.33,Pending
72,88,2024-04-05,"H.No. 39, Babu Street, Ahmedabad-885514",6359.77,Pending
