user_id,username,email,password,first_name,last_name,address,phone_number
1,mamooty17,devansh14@khanna-gala.com,(x+5tYgo!B,Amani,Solanki,"H.No. 45, Jain Zila, Mira-Bhayandar-461834",+915884428352
2,stuvantara,vkhalsa@sha.com,NYVxs8Gb$q,Priyansh,Banik,"38/060, Baral, Hapur 490524",03126562653
3,hrishita94,mamootyraja@yahoo.com,(0xFVikdJU,Sahil,Magar,"H.No. 050, Char Street, Hindupur-488323",4289873398
4,jivin46,abaral@swaminathan.com,6_m0MUOmxP,Rasha,Batra,"H.No. 773, Barad Circle, Thoothukudi-650008",0221132450
5,adash,aarav17@lala-rajagopal.net,a^4TPgQ*qA,Rasha,Bumb,"740, Yadav Marg, Vellore 700715",4073578326
6,bkapoor,cheriansumer@das.com,jzeWXO$M(5,Ivana,Bhat,"H.No. 991, Soman, Firozabad 523490",+917847339222
7,birhrishita,samiha83@hotmail.com,_4qI1Gvcbv,Arnav,Rama,"H.No. 104, Deshmukh Street, Naihati-585014",+915246609945
8,rgola,isood@gmail.com,#9II0r_9)7,Arnav,Sastry,"59, Barman Road, Ballia 997566",5056536572
9,dasguptaneysa,vivaan21@yahoo.com,(%W8Dc3uk0,Pihu,Warrior,"05/606, Gulati Zila, Kalyan-Dombivli 332419",4653091950
10,siyengar,aniruddh81@gour.com,(4Kmk^NWxn,Madhup,Tak,"60, Randhawa, Satna 916783",06139146925
11,sahilvala,kuppal@kata.com,mV&9lD+c@i,Armaan,Jain,"83/93, Thakkar Chowk, Thiruvananthapuram-349986",+915850023705
12,armaan19,amira64@sheth.biz,v*RjLUvW%8,Dhruv,Iyengar,"H.No. 39, Viswanathan Street, Tumkur 091339",+910098548112
13,usangha,nchaudhry@yahoo.com,&g!C3fitT5,Nitara,Bumb,"02/813, Ghose Nagar, Hubli–Dharwad 868311",01761055772
14,charamira,tejas41@dora-singh.org,8)%5Rrj0bG,Mahika,Varghese,"H.No. 247, Dara Zila, Malda-059508",+915017130841
15,ravalyuvraj,vaibhav86@gmail.com,^0#EZ2DV)z,Indranil,Shenoy,"97/16, Johal Chowk, Muzaffarnagar-568382",9686422053
16,divithayre,bhallaveer@yahoo.com,#cagcVmj4#,Gokul,Kapoor,"022, Issac Chowk, Pondicherry 105579",+910897714422
17,charstuvan,iramadan@bahri.net,Ifre2CsYU#,Pari,Sarkar,"713, Chowdhury Zila, Panchkula-313975",2538558365
18,mohanlalbarad,dasguptavihaan@amble.com,5_5FmW)i&h,Farhan,Gour,"88, Rastogi Street, Delhi 117893",01439259878
19,vsagar,diyaarya@bains-mangat.com,)35ArNdxvq,Nitya,Hans,"H.No. 124, Bajwa Nagar, Dharmavaram-695531",+917924000247
20,surtarini,wbuch@hotmail.com,e5oPZnBT*Q,Prerak,Mall,"31, Bawa, Giridih-061117",+913893846414
21,voraprerak,bchowdhury@yahoo.com,znFe&5Pd3+,Vivaan,Som,"H.No. 67, Lalla Circle, Bijapur-535240",+914095846447
22,ymajumdar,dinreyansh@tella.com,)6Fy5nwq&J,Yuvraj ,Soman,"H.No. 095, Garde Nagar, Pudukkottai-469605",8298514369
23,rhea19,jayant25@yahoo.com,$%wyQxj5i7,Faiyaz,Chakraborty,"054, Rajagopalan Ganj, Phagwara-218855",+910858517860
24,kotamadhup,kalazaina@dhillon.com,+FC0A&5hPO,Priyansh,Bumb,"138, Chakraborty Marg, Salem 092861",8026457312
25,ojaskota,yadavlagan@wali.net,_(3jE06e#J,Eshani,Gokhale,"491, Sampath Road, Bettiah 173976",06056348510
26,vivaanandra,ryansinghal@tak.com,5Q5tIxVl(S,Stuvan,Talwar,"26/06, Bhargava Road, Buxar 129007",+917734573589
